Keuwl Accelerometer Data File
2023-11-03 01:40:50

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.5399780,-0.390255,2.501941,9.404425,9.739364,15.069804,98.865608
1.5449830,-0.375890,2.509123,9.414001,9.749893,15.083157,98.520073
1.5499879,-0.363919,2.511518,9.445126,9.780110,15.039234,98.244774
1.5549928,-0.316035,2.513912,9.464279,9.797562,14.987317,97.165306
1.5599978,-0.325611,2.501941,9.469068,9.799438,14.919872,97.415001
1.5650024,-0.328006,2.489970,9.437943,9.766387,14.901358,97.504410
1.5700073,-0.359130,2.513912,9.421184,9.757429,15.085282,98.130104
1.5749818,-0.368707,2.516306,9.409213,9.746847,15.124821,98.336067
1.5799868,-0.404620,2.501941,9.399636,9.735327,15.089953,99.186478
1.5849917,-0.395043,2.511518,9.366117,9.705048,15.186789,98.938965
1.5899965,-0.387861,2.509123,9.358934,9.697206,15.178104,98.787239
1.5950015,-0.371101,2.518700,9.337387,9.678242,15.251303,98.381569
1.6000063,-0.385466,2.509123,9.351752,9.690178,15.187128,98.733841
1.6049806,-0.378284,2.489970,9.370906,9.703449,15.043432,98.638496
1.6099854,-0.363919,2.473210,9.402030,9.728688,14.889494,98.370674
1.6149902,-0.335188,2.470816,9.425972,9.750192,14.817047,97.725525
1.6199952,-0.332794,2.492364,9.449914,9.778728,14.900322,97.605461
1.6250001,-0.328006,2.482787,9.483433,9.808533,14.792817,97.525871
1.6300048,-0.342371,2.509123,9.495404,9.827290,14.932919,97.770042
1.6349792,-0.354342,2.501941,9.495404,9.825883,14.902128,98.061005
1.6399843,-0.344765,2.492364,9.493010,9.820793,14.844771,97.875664
1.6449891,-0.342371,2.501941,9.457097,9.788443,14.950442,97.792076
1.6499940,-0.339977,2.511518,9.449914,9.783874,15.013165,97.709099
1.6549990,-0.361524,2.506729,9.449914,9.783418,15.003209,98.206703
1.6600039,-0.371101,2.525883,9.425972,9.765590,15.154804,98.358070
1.6649781,-0.344765,2.509123,9.430760,9.764927,15.032495,97.823708
1.6699830,-0.351948,2.501941,9.416395,9.749465,15.019625,98.007248
1.6749879,-0.332794,2.511518,9.406818,9.742007,15.073402,97.548126
1.6799928,-0.332794,2.521094,9.390059,9.728303,15.153053,97.519783
1.6849977,-0.349553,2.537854,9.382876,9.726317,15.271296,97.842339
1.6900024,-0.339977,2.545036,9.378088,9.723236,15.311866,97.608765
1.6950073,-0.344765,2.559402,9.358934,9.708710,15.426378,97.671867
1.6999818,-0.373495,2.554613,9.332599,9.683127,15.463592,98.317955
1.7049867,-0.344765,2.528277,9.294291,9.638199,15.351853,97.765167
1.7099916,-0.337582,2.521094,9.320627,9.661469,15.264318,97.626717
1.7149965,-0.328006,2.535460,9.342175,9.685679,15.304893,97.371262
1.7200013,-0.318429,2.509123,9.382876,9.717791,15.086057,97.232651
1.7250063,-0.294487,2.513912,9.411607,9.746016,15.052640,96.681343
1.7299806,-0.277727,2.530671,9.437943,9.775286,15.096117,96.262840
1.7349856,-0.294487,2.516306,9.452309,9.785942,15.004198,96.675041
1.7399904,-0.299275,2.504335,9.488221,9.817719,14.886078,96.814690
1.7449952,-0.311246,2.504335,9.528923,9.857431,14.833464,97.084564
1.7500000,-0.301669,2.516306,9.562442,9.892577,14.843772,96.836327
1.7550049,-0.328006,2.521094,9.572019,9.903891,14.874428,97.412796
1.7599794,-0.335188,2.518700,9.557653,9.889638,14.887739,97.580376
1.7649843,-0.349553,2.530671,9.579201,9.914009,14.932786,97.864319
1.7699890,-0.371101,2.552219,9.576807,9.918002,15.072312,98.273026
1.7749940,-0.378284,2.549825,9.562442,9.903787,15.086515,98.438667
1.7799989,-0.361524,2.530671,9.562442,9.898247,14.967099,98.130104
1.7850039,-0.351948,2.530671,9.545682,9.881710,14.984690,97.917503
1.7899780,-0.325611,2.521094,9.514558,9.848287,14.958502,97.359283
1.7949830,-0.320823,2.537854,9.488221,9.827003,15.088379,97.204834
1.7999879,-0.318429,2.545036,9.461885,9.803361,15.166961,97.131653
1.8049928,-0.306458,2.549825,9.433155,9.776499,15.229646,96.853378
1.8099978,-0.335188,2.533065,9.445126,9.784639,15.137630,97.537880
1.8150024,-0.318429,2.545036,9.447520,9.789496,15.188952,97.131653
1.8200073,-0.337582,2.540248,9.433155,9.775031,15.198009,97.569885
1.8249818,-0.344765,2.523489,9.437943,9.775563,15.102148,97.779724
1.8299867,-0.325611,2.530671,9.461885,9.799877,15.091645,97.331741
